S.No,Analysis name,Analysis Objective,Observations/Findings,Business Area,Subject Area,CXA Program,Stakeholder,CXA Owner,Responsible ,Accountable,Consulted,Informed,Contact of Source System,Location ,Date produced,Deployed in Prod,Tags,Parent/Related Story,Note,SQL,Table Used
27,Analysis focused on  chronic volume,"Analysis focused on 9 days of chronic volume, comparing chronics using IVR data and chronics using switch data
•For Chronic Call Buckets 7 – 15 there is much more volatility between count buckets with IVR chronics than switch chronics
•For Chronic Call Buckets 17 – 25 the percent difference between buckets almost mirror each other for IVR and switch chronics.
•West Division consistently has a higher switch count than IVR count",Overall chronics among the divisions is fairly flat using IVR data while switch data shows a sudden decrease.,Chronic,IVR Agent Calls,CXA,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,,https://comcast.app.box.com/files/0/f/5068964170/Chronic_Switch_IVR_Deep_Dive,12-05-2016,,"comparing chronics using IVR data and chronics using switch data,Chronic Call Buckets 7 – 15,Chronic Call Buckets 17 – 25,
Analysis focused on 9 days of chronic volume, comparing chronics using IVR data and chronics using switch data,West Division consistently has a higher switch count than IVR count which is the opposite of the other two divisions.",US674442,,"SELECT 2                 ACCOUNT_NUMBER 3 --              ,ACCT_NONPAY_STATUS 4 --              ,BILLING 5 --              ,CUSTOMER_TENURE_DAYS 6 --              ,CUSTOMER_TIMELINE_LINK 7                 ,DATE_KEY 8 --              ,DIVISION 9 --              ,EINSTEIN_ACCT_LOADS10 --              ,ER_TICKET_COUNT11 --              ,FIRST_CUSTOMER_CALL_DATE12 --              ,ITG_COUNT13 --              ,IVR_AGENT_TRANSFER_CALLS14 --              ,IVR_SERVICE_CALL_TOTAL15 --              ,LAST_CUSTOMER_CALL_DATE16 --              ,LAST_ER_TICKET_NUMBER17 --              ,LAST_INSTALL_TRUCK_ROLL_COMPLETED_DATE18 --              ,LAST_SRO_TRUCK_ROLL_COMPLETED_DATE19 --              ,LAST_TRUCK_ROLL_COMPLETED20 --              ,LAST_UPDATE_DATE21 --              ,NUMBER_OF_CANCELLED_INSTALL_TRUCK_ROLLS22 --              ,NUMBER_OF_CANCELLED_SRO_TRUCK_ROLLS23 --              ,NUMBER_OF_CANCELLED_TRUCK_ROLLS24 --              ,NUMBER_OF_COMPLETED_INSTALL_TRUCK_ROLLS25 --              ,NUMBER_OF_COMPLETED_SRO_TRUCK_ROLLS26 --              ,NUMBER_OF_COMPLETED_TRUCK_ROLLS27 --              ,OTHER28 --              ,QUERYTYPE29 --              ,REGION30 --              ,RETENTION31 --              ,SALES32 --              ,SERVICE_CDV33 --              ,SERVICE_HSI34 --              ,SERVICE_VIDEO35 --              ,TOTAL_NUMBER_OF_INSTALL_TRUCK_ROLLS36 --              ,TOTAL_NUMBER_OF_SRO_TRUCK_ROLLS37 --              ,TOTAL_NUMBER_OF_TRUCK_ROLLS38                 ,CR_TICKET_PROBLEM_CATEGORY39                 ,CUSTOMER_TYPE40                 ,EFFORTGRADE41                 ,EFFORTSCORE42                 --,EQUIPMENT_LAST_END_DATE43                 ,EQUIPMENT_LAST_START_DATE44                 ,LAST_TTS_TICKET_NUMBER45                 ,MDU_FLAG46                 ,NINE_BOX_SEGMENT47                 ,SCOREDATE48                 ,STATUS49         FROM50                 DW_PRES.NZUSER.CHRONIC_CUSTOMER_NEW51         WHERE52                 date_key = 2015101253                 AND querytype = '7 DAY'54         ORDER BY55                 date_key56                 ,querytype",
28,Analyze Impact of Chronic Call Distribution due to Call Routing Stoppage,"Following the call routing stoppage on Nov 14th, the number of 6+ chronic call events decreased. This story is to see if there was a matching increase in 3, 4 and 5 call chronic events","Call volumes are declining for 3, 4 and 5 call chronic events, and the future trend suggests the decline will continue. However, the shortened “post-stoppage” period indicate this analysis should be repeated once 30 days have elapsed from the stoppage point.",Chronic ,Chronic Call,CXA,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,,https://comcast.app.box.com/files/0/f/5609056545/1/f_45512713977,02-12-2016,,"3, 4 and 5 call chronic events,pre-stoppage & Post stoppage,Analyze Impact of Chronic Call Distribution due to Call Routing Stoppage",US599038,,,
29,Analysis of  CIR reporting for Billing Confirmation Emails,Analysis of the existing ETL job and fined tuned the job which are pretty much clean now,Duplicate Mover Email report for billing emails,NPS,Billing,CXA,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/8548309085/US719462_NPS_Billing_-_Reporting_-_Create_CIR_reporting_for_billing_confirmation_emails,14-07-2016,,"CIR reporting for Billing Confirmation Emails,Duplicate Mover Email report for billing emails",US719462,,"SELECT  2         *  3 FROM  4         dw_etl..etl_ems_content_ids AS e  5 WHERE  6         LOWER(e.contentguid) IN (  7                 '544b8319-144c-4d22-adf5-8a9991a98470'  8                 ,'19affa81-7750-4ca9-8f68-2c3d41a2dc18'  9                 ,'48721d19-11cf-4331-aa7a-15b96d31ebe7' 10                 ,'a07896cf-c32b-4a81-8dcd-4f901060a28f' 11                 ,'f3711ca7-402b-431c-8847-4887da449292' 12                 ,'8fc968eb-7d68-4fe1-996b-7eee469f68be' 13                 ) 14 ; 15 16 17 SELECT 18         * 19 FROM 20         dw_etl..etl_ems_content_ids_history AS e 21 WHERE 22         LOWER(e.contentguid) IN ( 23                 '544b8319-144c-4d22-adf5-8a9991a98470' 24                 ,'19affa81-7750-4ca9-8f68-2c3d41a2dc18' 25                 ,'48721d19-11cf-4331-aa7a-15b96d31ebe7' 26                 ,'a07896cf-c32b-4a81-8dcd-4f901060a28f' 27                 ,'f3711ca7-402b-431c-8847-4887da449292' 28                 ,'8fc968eb-7d68-4fe1-996b-7eee469f68be' 29                 ) 30 ; 31 32 SELECT 33         * 34 FROM 35         dw_etl..etl_ems_max_ids 36 ; 37 38 SELECT 39         MIN(e.date_key) AS min_date_key 40         ,e.content_id 41 FROM 42         dw_audit..audit_email_details AS e 43 WHERE 44         LOWER(e.content_id) IN ( 45                 '544b8319-144c-4d22-adf5-8a9991a98470' 46                 ,'19affa81-7750-4ca9-8f68-2c3d41a2dc18' 47                 ,'48721d19-11cf-4331-aa7a-15b96d31ebe7' 48                 ,'a07896cf-c32b-4a81-8dcd-4f901060a28f' 49                 ,'f3711ca7-402b-431c-8847-4887da449292' 50                 ,'8fc968eb-7d68-4fe1-996b-7eee469f68be' 51                 ) 52 GROUP BY 53         e.content_id",
30,NPS_System_Reporting_Region_VP_Operations_NPS_spike-Greater Boston Region Adoption Dashboard,The Objective is to find out                                                                      1.% of site participating in eNPS survey Goal ? 75%                                                                                2.Avg weekly success callbacks per supervisor Goal ? 10  per week                                   3.Avg # days a supervisor is active in Medallia per week Target ? 3 per week,"1.Average = 63%, Ranking excludes sites with <5 employees  2.Average = .5 callbacks                   3.Average = 1.4 days of activity",NPS,eNPS,CXA,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/17677983761/US922027_NPS_System_Reporting_Region_VP_Operations_NPS_spike,27-01-2017,,"eNPS Participation,Medallia Logins, Callbacks per Supervisor,NPS Work Practice Outliers",US922027,,,
31,rNPS  Research for Brandon,The objective is to research on rNPS scores Promoters and Detractors  on multiple and minmal transactions,rNPS score as 10:Customer who was given additional promotions  for being a regular user ,rNPS,rNPS,CXA,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/5814389449/rNPS_Reserch_for_Brandon_20151214?,18-12-2015,,"Promoter, Detractor, multiple transactions,minimal transactions,rNPS Score, Tenure",,,,
32,NPS Effectiveness Analysis-2nd and 3rd Call back Attempts,The Objective is to find repeat callback effectiveness,"1.Success Rate by attempt – 1st – 44%, 2nd – 27%, 3rd – 17% (Overall 53%)            2.The data suggests that 2nd and 3rd attempts should be limited to high priority alerts or in cases of low survey volume",NPS,Callback,CXA,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/16076335445/US922229_NPS_System_Effectiveness_Analysis_2nd_and_3rd_callback_attempts,17-01-2017,,"Callback Attempt,Repeat Callback Effectiveness,contact rate ",US922229,,,
33,Chronic Analysis - Chronic Distribution by Business Partner Vs Employee Agents,"To determine if there are any significant differences in AHT between BP’s and EMP’s. Also, to see if there are any trends in either call volume of AHT for the two groups.","There are very few business partners (BP) in Central and West divisions. This fact significantly skews the Average Handling Times (AHT) of BP’s vs. Employed Agents(EMP) for these divisions.
• The AHT for all divisions is not a good metric because of the above skew. However, for the Northeast Division where there a many BP’s handling chronic customer calls, the AHT’s are slightly lower than those of the employed agents.
 • Chronic call volume in the Central division is greater than the combination of the Northeast and West divisions.
• The trend of AHT for the 3 months of the 4th quarter of 2016 for all divisions shows a decrease in EMP calls. However, for the Northeast Division shows a significant drop from month-to-month especially for Employed agents. AHT for BP’s shows a consistent rise but it looks to be insignificant.
• Calls from chronic customers for all divisions was decreasing month-over-month in the 4th quarter of 2016 for employed agents, but was flat for BP’s. In the Northeast, the chronic call volume dropped month-over-month for employed agents, but call volume rose from November to December for BP’s. Further investigation of why this occurred may be required.",Chronic,AHT - Average Handling Time,CXA,Mark Simms,Mark Simms,Mark Simms,Mark Simms,Mark Simms,Mark Simms,,https://comcast.app.box.com/files/0/f/20424792658/1/f_142719485293,02-03-2017,,"Chronic, AHT, Business Partner, Employee Agents, Call Volumes, IVR_Switch, Average AHT, Call Volumes by Division,AHT Trend",US919609,,,
34,Comcast Residential Tech Timing Analysis,Impact of ATTI and ATTR met on tNPS,"Successful visits are critical to maintaining strong tNPS for the Onboarding journey and through the Repair & Reliability journey
? There is a 75.6 difference in tNPS between successful installs (45.3 tNPS) and unsatisfactory 
installs (-30.3 tNPS)
? Successful installs also prevent new customers from immediately requiring a repair visit, for which tNPS is generally lower than installs in total (40.2 install tNPS vs. 36.6 repair tNPS)
? Successful repairs earn tNPS 74.0 higher than unsuccessful repairs (41.5 successful repair tNPS vs. -32.5 unsuccessful repair tNPS)
? Arrivals towards the end of the 2-hour appointment window earn lower tNPS
? Repair length has little effect on tNPS in total, while tNPS is highest for installs between 90 minutes and 3 hours
? Average Time to Repair (ATTR) is 2.1 days, and tNPS decreases as Time to Repair increases
? Average Time to Install (ATTI) is 5.2 days, though Time to Install does not significantly impact tNPS in total",TNPS,"ATTI, ATTR",CXA,COVERGYS TEAM,COVERGYS TEAM,COVERGYS TEAM,COVERGYS TEAM,COVERGYS TEAM,COVERGYS TEAM,,https://comcast.app.box.com/files/0/f/11637619965/1/f_97644204955,10-10-2016,,"ATTI, ATTR, TNPS,Install, Repair,Techs are late, Succesful Visits, Ontime Visits, Tech arrival, Late Arrivals, tnps by tech arrival time, repair length impact on tnps, install length impact on tnps, time to repair impact on tnps",,,,
35,Einstein Analytics,"1. Repair ITGs and % of time Customer contacted a channel within 24 hours.
2. Repair Solution Codes and % of Time Customer contacted a channel within 24 hours
3. VOC NPS vs ITGs Run
4. Billing ITGs and % of Time Customer contacted a channel within 24 hours","1.
•55% of customers whose agent first ran an X1 RDK Errors ITG called again within 24 hours
• Service calls where the first ITG run was an activation or RDK Error ITG had the highest likelihood of having another agent interaction within 24 hours
• The highest three first-run ITGs for customers were Informational Issues and Cannot Surf

2.
•The solution codes that had the highest likelihood of another call within 24 hours were related to troublecalls 
• Feature/Bill/Customer Education were three of the highest four solutions for repair calls
• SIK Change of Service was 3rd highest solution for repair calls and 3rd highest for likeliehood for callbacks
• Power cycling device had lowest 24 hour contact rate at 35% in this list

3.
• X1 RDK Errors has the lowest NPS of the top 25 ITGs
• The average NPS is 18 – Cannot Surf, Informational Issues, Xfinity Internet Activations, TV Activations, and X1 XRE Errors fall below the average NPS line

4. 
•47% of customers whose agent first ran an X1 Platform Activations ITG called again within 24 hours
• Billing calls where the first ITG run was an activation had the highest likelihood of having another agent interaction within 24 hours
• Customers calling into the billing queue mostly had Billing Issues, as evidenced by the count of distinct customers",Einstein,ITG and Solutions,CXA,Taylor Lee,CXA,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,,https://comcast.app.box.com/files/0/f/13405056583/1/f_107137776622,01-12-2016,,"ITG, Repair, Customer Contact less than 24 hours, X1 RDK, Error ITG, Informational Issues, Cannot Surf, Trouble Call, Feature, Bill, Customer Education, SIK change of service, Power Cycling Device, VOC NPS, ITGs Run",,,,
36,Avoidable Truck Rolls,Understand the prior interactions and what happened during those interactions that led to an avoidable truck," Non-Avoidable trucks typically have a shorter duration of time between a voice interaction 
and the troublecall 

• Slightly more Care Avoidable troublecall journeys had agent interactions that were Video/X1 
related 

• Slightly more billing-related agent interactions happened for Care Avoidable troublecall journeys 

• Largest call driver for Non-Avoidable troublecalls: Caller ID Problems (Slide 12) • Largest call driver for Care Avoidable troublecalls: DVR Issues",Customer Service,Truck Rolls,CXA,Taylor Lee,CXA,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,,https://comcast.app.box.com/files/0/f/13405056583/1/f_107137780598,01-12-2016,,"Avoidable Truck Roll, Non Avovidable Truck Roll, TroubleCall, Callbacks less than 48 hours, IVR, Agent, Interactions, dotcom, Care Avoidable, Contact Reasons, Call Drivers",,,,
37,Chronic Customers - Central Division,Understand lower-level contact reasons for chronic customers in the Central Division,"•Central Division customers have a slightly lower drop-off rate (68.2% vs 70.9%) than Enterprise between the 1st and 2nd agent interactions. Both continue to rise between subsequent interactions

• #1 Journey by volume is 6 agent interactions in a row (192 out of 6,811 journeys) 

• Avg journey duration is 35 hours and 54 minutes for 6 agent interactions in a row 

• 40% of journeys end within 10 interactions of the 6,811 journeys. 80% end within 16 interactions

• Most interactions made by chronic callers were agent interactions.  The second highest was through the IVR

• SIKs were the smallest interaction by volume, but the largest by % of 1st interaction in its channel

• Customers going across channels increases as the sequence in journey increase

• Most of the cross channel sequence in journey increases are as a result of Something to Truckroll and Something to Digital",Chronic ,Contact Reasons,CXA,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,,https://comcast.app.box.com/files/0/f/13405056583/1/f_107137534214,01-12-2016,,"Chronic, Central Division,Customer Journeys, Voice, IVR, Web, Truck Roll, Mobile, Mobile App, SIK, Chronic Journeys, Central Vs Enterprise, Journey Paths, Interactions,  Journeys by Number of Interactions, Interactions by Type, Cross Channel Interactions, ",,,,
38,Callback Effectiveness Analysis,"Is there a correlation between Callbacks and improvement to customer experience metrics including UCR, ACC, customer effort score, CLV margin and churn
","Analyzed over 580k alerted surveys from Medallia and VOC for fiscal Jul ‘16 to Dec ‘16
Callback numbers show more calls being made on lower priority alerts
The median number of days from final (success or 3 attempts) callback is 4 days
Successful Callback shows no significant impact on UCR and ACC
3 months after survey taken:
insignificant impact on customer effort score and active CLV margin
Successful Callback group surprisingly +0.8% higher churn than No Callback group
Issues unresolved, Successful Callback group’s churn 2.6% higher than No Callback group


Recommendations:
Analyze why Callbacks aren’t being made on higher priority alerts with emphasis on customers requesting Callbacks that aren’t called
",Customer,Callback,CXA,Mike Degrado,Mike Degrado,Mike Degrado,Mike Degrado,Mike Degrado,Mike Degrado,,https://comcast.app.box.com/files/0/f/21101599450/US846214_NPS_System_Callback_Effectiveness%3A_Analysis-_Callback_key_impacts_to_customer_experience,13-03-2017,,"Callback, UCR, ACC,Customer Effort Score, CLV Margin, Succesful Callbacks, high priority alerts, Low Priority Alerts, Failed Callback, Successful Callback, No Callback, Medallia Surveys, VOC, tNPS Trend by Month, Customer First Calls Post Transaction,Average Calls per Customer,",US846214,,,
39,SWAPS and NPS,To provide a view on the effectiveness of swaps on rNPS and baseline the rNPS delta for customers pre- and post-swap,"•Post-Swap rNPS (-13.9) underperform compared to Post-SIK rNPS (-6.6)

• Device Swaps was a subset of total SIKs sent out in Fiscal Nov and Fiscal Dec • Both Post-SIK and Post-Swap rNPS outperform their “Pre-” counterparts • Post-Swap group has no customers in the 0-90 day range

• All Post-Swap experiences have a lower rNPS score than post SIK experiences

• Central Swaps customers have a worse score post-swap than pre-swap

• NED Swap experience had a +10.7 pre/post delta in rNPS, the highest delta of any division

• Next Steps:
• Better understand Swaps program for additional context on why SIK outperforms Swaps
• Profile accounts in each group to see if other underlying components are influencing rNPS (ie. Does SIK population over-index on new customers vs. Swaps population?)",NPS,rNPS,CXA,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,,https://comcast.app.box.com/files/0/f/8352086625/1/f_69832057569,13-06-2016,,"Swaps, NPS, Post_swap rNPS, SIK, Central Swa Customers, SIKs Vs Swaps, Device Swaps, Jess Eissinger",,,,
40,NPS Repair Analysis - Break out tNPS and %s into 30 Minute Windows for Truck Rolls,"Identified all customers surveyed in the three days following their trouble call. 
• Grouped by how close the tech arrives to the beginning of the scheduled two hour window.


o < 30 minutes o 31 to 60 minutes o 61 to 90 minutes o 91 to 120 minutes o > 120 minutes


• Calculated tNPS scores of customers in each time frame","• As technician arrival times grow later in the window the number of promoters decreases
• The rate of neutral customers is nearly constant across all time ranges
• The tNPS score for these customers decreases by about 1 point for ever 30 minutes later that the tech arrives.
• Exceeding the two hour window nearly doubles the number of promoters who become dractors",NPS,Repair,CXA,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/7433138793/1/f_61122331649,13-04-2016,,"NPS, Repair Analysis, tNPS, Truck Rolls, Tech Arrival Times, Trouble Call",US661890,,,
41,PRP vs BAU Node Analysis for rNPS,"• 1. Find all nodes that are being fixed through PRP vs. BAU 
• 2. Connect nodes to their customers and see if there are any NPS scores 
• 3. Determine if there are enough NPS scores in PRP and BAU for statistical significance. 
• 4. Create the compare and compile info into a summary slid","rNPS spike post repair may be due to down time during node repair and survey coming in closely behind down time
• Based on Freedoms rNPS compared to NED rNPS, if a program were to affect rNPS it would be visible and improvement should be able to be tracked easily
• Access to more PRP nodes would increase chance of surveys for PRP type as rNPS surveys are randomly, and can not be sent to just PRP node types
• National outages may be slightly altering rNPS for timeframe researched",NPS,rNPS,CXA,Hannibal Hesson,Hannibal Hesson,Hannibal Hesson,Hannibal Hesson,Hannibal Hesson,Hannibal Hesson,,https://comcast.app.box.com/files/0/f/6999789057/US654825_PRP_vs_BAU_nodes,06-04-2016,,"PRP, BAU, Node Analysis, rNPS, Fixing Nodes, Proactive Reliability Program, Freedom BAU, Health Worst Nodes, ",US654825,,,
42,Warm - Cold Transfer Analysis,MEASURE PERCENTAGE OF WARM/COLD/NO TRANSFER CALLS,"6 Month Overview
Data pulled from Netezza and cross-checked from NCO database (source) all months match expect February which 
has a 1% variance due to Warm Transfer flag being added to database

NEXT STEPS
•Divisional and Regional (customer impact), Call Center (Operational Impact) distribution •Break out by queue to determine transfer rates by queue AND tie to tNPS and rNPS. •Determine % of cold transfers where a warm transfer was attempted but not achieved due to SLA/SLs.  If a 
significant % of the cold transfers had an attempted warm transfer, this would be a good use case to push those customers to virtual hold and improve service levels (assuming cold transfers are part of the service level calculation",Customer Service,Customer Service,CXA,Bryan Kelly,Bryan Kelly,Bryan Kelly,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/7000257613/US653371_warm-cold-no_transfer_calls,16-03-2016,,"Warm Transfer, Cold Transfer, Not Transferred,TNPS, rNPS, Percentage of cold transfers, Percentage of warm transfers, SLA's ",US653371,,,
43,NPS:Reliability Analysis - Customer Pain Points vs. Call In Rates and Truck Roll Rates,"• CIR and TRR vs. the number of pain points recorded (group by No issues, 1, 2, 3, 4, 5+)
• NPS score vs. number of pain points recorded
• For customers with lower NPS and no issues, did they have a higher call in rate for billing?","The more pain points customers have, the lower the NPS will be.

Generally speaking, for customers with lower NPS and no issues, they do have a higher call in rate for billing (approximately by 4%). 

For customers with lower NPS(Detractor) and no issues, the Billing Call rate is higher. Billing Call per Account increases when customers have issues regardless of NPS score",NPS,Customer Service,CXA,Mengbing Qian,Mengbing Qian,Mengbing Qian,Mengbing Qian,Mengbing Qian,Mengbing Qian,,https://comcast.app.box.com/files/0/f/5923591765/US610534_NPS_Reliability__Analysis_-_Customer_Pain_Points_vs._Call_In_Rates_and_Truck_Roll_Rates,06-01-2016,,"NPS, Pain Points, Call in Rates, Truck Roll Rates,CIR, TRR,Detractor",US610534,,,
44,Chronic rNPS P90 and After P90,"1.P90 Chronic & Non-Chronic rNPS

2. Greater than 90 Days Chronic & Non-Chronic rNPS","1.
• Non-Chronic P90 have outgained Chronic P90 by 1.5%
• Moreover, Non-Chronic P90 with a recommendation of 10 increased 3% YoY for Q3
• P90 rNPS Breakout • Chronic Q3-2015 is -16.3 • Chronic Q3-2016 is -10.8 • Non-Chronic Q3-2015 is -9.8 • Non-Chronic Q3-2016 is -1.6

2.
• Chronic tenure greater than 90 days is outperforming non-chronic in the promoter category
Chronic customers that are past their P90 experience have improved nearly 6% by migrating out of the detractor category and into a passive or promoter category.
• Greater than 90 days rNPS Breakout • Chronic Q3-2015 is -20.3 • Chronic Q3-2016 is -11.0 • Non-Chronic Q3-2015 is -12.8 • Non-Chronic Q3-2016 is -6.7",Chronic,rNPS,CXA,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,,https://comcast.app.box.com/files/0/f/12180928456/rNPS_shift_for_Chronics_by_Tenure,15-11-2016,,"rNPS, Chronic,P90,Non-Chronic, Chronic Tenure Greater than 90 days",,,,
45,Top Issues for P90 Chronic Calls,Identify Top issues for P90 Chronic calls,"•HSD
–Activation –Modem is offline –Issue with SIK Activation –There’s no connectivity –Modem is online but cannot connect –Slow Connectivity –Customizing Wi-Fi settings
•Video
–There's no signal –X1/STB/DTA activation –X1 - Remote Activation –All channels are displaying not authorized –X1 is offline
•Voice
–Voice Activation –There’s no dial tone
•Informational ITGs •Billing ITGs",Chronic Calls,Customer Service,CXA,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/7488669261/US674410_Chronic_Analysis_-_Identify_Non-Chronic_to_Chronic_shift_using_Verbatims,5/52016,,"P90, Chronic,HSD, Video,Voice, Informational ITGs, Billing ITGs",US674400,,,
46,Chronic Analysis -Enhancements to P90 Chronics Breakdown by New-Move,"• Normalize P90 Chronics / 100K for new and move customers
• Breakdown by billing in service call queues
• Identify top 10 TTS problem codes to understand root cause","Overall Top TTS
• Day -6 to 0
    X1 Truck Roll Inquiry
• Day 1 to 5 
   Xfinity Internet Activations
• Day 6 to 8 
   No Block Sync
• Day 9 to 14 
   Bill Inquiry

0-14 Day Top 3 TTS
•Move
  No Block Sync 
  Xfinity Internet Activations  
  Bill Inquiry

• New
  Xfinity Internet Activations 
  No Block Sync  
  Bill Inquiry
",Chronic,Customer Service,CXA,"Bryan Lucas
Sri Bolla","Bryan Lucas
Sri Bolla","Bryan Lucas
Sri Bolla","Bryan Lucas
Sri Bolla","Bryan Lucas
Sri Bolla","Bryan Lucas
Sri Bolla",,https://comcast.app.box.com/files/0/f/9046449422/US739102_Chronic_Analysis_-_Enahacements_to_P90_Chronic_Breakdown_by_New-Move,22-08-2016,,"P90, Chronic,New Customers, Move Customers,Service call queues, TTS, X1 Truck Roll Inquiry, Xfinity Internet Activations, No Block Sync, Bill Inquiry",US739102,,,
47,Chronic Vs Non-Chronic rNPS shift,Identify Chronic Vs Non-Chronic rNPS shift,"Chronics
• Biggest declines occurred in 0 and 5 each dropping 1.5% • Biggest gain occurred in 8 with an increase of 2.7% • There is a noticeable shift from detractors to passives and promoters with 7,8,9 and 10s increasing a total of 2.9%

Non-Chronics
• The shift from detractors to passives and promoters is even more apparent with 7,8,9 and 10s with an overall gain of 4.5% 
• Even more encouraging, is the fact that a score of 10 made up nearly 3% of the aforementioned 4.5%
",Chronic,rNPS,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,Dean Bixler,,https://comcast.app.box.com/files/0/f/9206519581/US739046%3A_Chronic%3A_Analysis_-_rNPS_shift_for_Chronics,04-08-2016,,"Chronic, Non-Chronic, rNPS,promoters, detractors, passives,Likelihood to recommend",US739046,,,
48,Preliminary Billing NPS  Analysis,"25 week trend on                                                                             rNPS,tNPS,Billing and Service tNPS,Call Volume,Call Proprtion, Agent tNPS,Agent Volume,Service Level, Onborading","1.The onboarding tNPS is better than overall tNPS                          2.Generally tNPS follows similar pattern of Overall Service Level  3.Lower tNPS when the ratio closer to normal 4.8
4.tNPS of both BP and Internal agents are improving.                              5.The billing proportion is decreasing while the service call proportion is
increasing.                                            6. Service call volume is relatively consistent                                            7.Billing tNPS and overall tNPS are tightly correlated                                   8.rNPS and tNPS are trending in the same direction and correlated         9.Overall tNPS was improving through December – Jan. shows slight decline , Trend is consistent across Divisions                 10.Overall rNPS has been steadily improving since September 2015",NPS,NPS,CXA,Qian Mengbing,Qian Mengbing,Qian Mengbing,Qian Mengbing,Qian Mengbing,Qian Mengbing,,https://comcast.app.box.com/files/0/f/6268440157/1/f_50996630637,26-01-2016,,"25 week trend                                                                              rNPS,tNPS,Billing and Service tNPS,Call Volume,Call Proprtion, Agent tNPS,Agent Volume,Service Level, Onborading",US617448,,,
